<<<<<<< HEAD
8.9066429386e-05 0 0.99180012941
0.00012384859258 0.77459669113 0.92432492971
-0.00094866069943 0.92432492971 0.92432492971
-0.012338026706 0.92432492971 0.92432492971
-0.037563530055 0.92432492971 0.92432492971
-0.032274759111 0.92432492971 0.92432492971
0.0041378720556 0.92432492971 0.92432492971
0.043561519269 0.92432492971 0.92432492971
0.069091454634 0.92432492971 0.92432492971
0.079586625123 0.92432492971 0.92432492971
0.081200145945 0.92432492971 0.92432492971
0.07955699847 1.2057731152 2.242284944
0.077530638942 1.4332600832 2.2713983927
0.076951359999 1.628983736 2.2799317461
0.075994661637 1.8035734892 2.2942379156
0.075618481101 1.9629613161 2.2999374281
0.076972862393 1.8805691004 2.279613274
0.077842220594 1.7425525188 2.2668479335
0.078568197764 1.6270157099 1.7425525188
0.078104377117 1.6270157099 1.6270157099
0.076781733581 1.6270157099 1.6270157099
0.075323104532 1.6270157099 1.6270157099
0.071173638836 1.6270157099 1.6270157099
0.059755192465 1.6270157099 1.6270157099
0.038016256845 1.6270157099 1.6270157099
0.015593927511 1.6270157099 1.6270157099
0.0026459415706 1.6270157099 1.6270157099
-0.0014528186772 1.6270157099 1.6270157099
-0.0037320788464 1.6270157099 1.6270157099
-0.0012882868883 1.6270157099 2.5
0.001019129453 1.6270157099 2.5
1.007823932e-05 1.6270157099 1.8869270086
-0.00011586893959 1.6270157099 1.7637052536
0.00072097554622 1.6270157099 1.7637052536
-0.0013858201301 1.6270157099 1.7637052536
-0.00014236905019 1.6270157099 1.7637052536
0.0059209215769 1.4270627499 1.7637052536
0.025033685288 1.1090991497 1.7637052536
0.045972440642 0.66049820185 1.7637052536
0.051018720379 0 2.5
=======
-79.415458427 145.45394422 0.054905775606
-80.340175106 145.07328812 0.056754995544
-81.243699064 144.64193826 0.064262635344
-82.117639026 144.15261937 0.070039750365
-82.95456742 143.6027373 0.073052161171
-83.747964456 142.99354459 0.074543367014
-84.492024375 142.32836782 0.075555760748
-85.181512085 141.61148989 0.076597560126
-85.811693079 140.84761299 0.077816785263
-86.378350763 140.04159502 0.079151266007
-86.877865989 139.19827799 0.08039102638
-87.307345204 138.32233603 0.081208236985
-87.66477147 137.41813616 0.081199677101
-87.94915104 136.48961688 0.079949181692
-88.160649717 135.54020493 0.077128492953
-88.300686796 134.57277793 0.072581476681
-88.371993855 133.58968501 0.066384028717
-88.37861693 132.59282351 0.058828037649
-88.325868561 131.58376377 0.050344418691
-88.220235029 130.56391107 0.041399216128
-88.069239684 129.53468614 0.03239104158
-87.881282367 128.49770281 0.023587781386
-87.665465615 127.45491292 0.015103858946
-87.431420524 126.4087154 0.0069019668455
-87.189152463 125.36200728 -0.0011854911396
-86.948905907 124.3181706 -0.0094391849159
-86.721062984 123.2810095 -0.018220775542
-86.516072445 122.25464002 -0.027723602566
-86.344409301 121.2433697 -0.035959382404
-86.216554217 120.25157684 -0.031475466641
-86.472264386 122.23516256 -0.0065692461488
-86.650007928 123.52409737 -0.017317671189
-86.761280752 124.41749767 -0.052913326645
-86.817576512 125.21447841 -0.069772498777
-86.830394396 126.2141497 -0.075771193409
-86.766352398 127.21184987 -0.076817229749
-86.625829277 128.20167827 -0.076949164184
-86.409656121 129.17778081 -0.077175283642
-86.119111431 130.13438458 -0.079009984045
-85.755913558 131.06583201 -0.086328857384
-85.311170962 131.96103807 -0.084739460001
-84.792901701 132.81416514 -0.081718895393
-84.209093671 133.61951392 -0.079454312287
-83.567649753 134.37176694 -0.078088442784
-82.876305352 135.06629406 -0.077345097129
-82.142524289 135.69948845 -0.076782843845
-81.373379734 136.26909893 -0.075841240065
-80.575429339 136.77452626 -0.073888628553
-79.754600169 137.21705455 -0.070303249238
-78.916095759 137.59999466 -0.064580691637
-78.064344594 137.92872002 -0.056440177412
-77.202999337 138.21058742 -0.045890400923
-76.334998876 138.45473886 -0.033226058731
-75.462694056 138.67180061 -0.018972037704
-74.588029136 138.87348506 -0.0037849836677
-73.712770996 139.07212968 0.011633689062
-72.838758291 139.28020146 0.026602412048
-71.968152471 139.50979729 0.040504885097
-71.10365819 139.77217153 0.052832507831
-70.24868972 140.07732541 0.063219244179
-69.407461519 140.43367382 0.071474998872
-68.584989059 140.84781164 0.077590200482
-67.786995511 141.32437876 0.081713100336
-67.019729155 141.86602957 0.08409174197
-66.28970775 142.47349098 0.085008319911
-65.603411105 143.14569828 0.084721881012
-64.966952115 143.8799881 0.083435670669
-64.385754079 144.6723276 0.081294661246
-63.86426559 145.51756079 0.078400869717
-63.405732933 146.40965377 0.074834921772
-63.012044756 147.34192309 0.070661889767
-62.683638045 148.30723532 0.065905241206
-62.419429408 149.29817136 0.060462036071
-62.216675452 150.30716021 0.053947192707
-62.070595765 151.32661503 0.045493917056
-61.973528905 152.34916175 0.03372664253
-61.913528182 153.36813738 0.017663050594
-61.873007658 154.37850555 0.00068953227907
-61.829501853 155.37755872 -0.003398314549
>>>>>>> afeaa2d6dd010a6f1f048753fc67e0ec0bfcfd5e
