<<<<<<< HEAD
0 8.90664e-05
0 8.90664e-05
0 0.00158202
0 -0.00712333
0 -0.0464693
0 -0.0407732
0 0.00376459
0 0.0474021
0 0.0729592
0 0.0817275
0 0.0819084
0 0.0796397
0 0.0770442
0 0.0771478
0 0.0758676
0 0.07507
0 0.0771923
0 0.0778153
0 0.0789062
0 0.0783346
0 0.0767036
0 0.0759023
0 0.0729414
0 0.0627024
0 0.0382261
0 0.0129551
0 0.000258845
0 -0.00150689
0 -0.00518393
0 -0.00121016
0 0.00209116
0 -0.000346731
0 -0.000518584
0 0.00182485
0 -0.00241435
0 -0.000981391
0 0.00208193
0 0.0242639
0 0.0510187
0 0.0510187
=======
0 0.0549058
0 0.0549058
0 0.0649222
0 0.0707718
0 0.0734133
0 0.0746446
0 0.0755389
0 0.0765486
0 0.0777842
0 0.0791701
0 0.0804903
0 0.0814069
0 0.0815024
0 0.0803343
0 0.0775539
0 0.0729885
0 0.0667185
0 0.0590551
0 0.0504553
0 0.0414114
0 0.0323373
0 0.0235059
0 0.0150314
0 0.00687033
0 -0.00114872
0 -0.00931097
0 -0.0180003
0 -0.0276914
0 -0.038939
0 -0.038939
0 0.00441464
0 -0.0100863
0 -0.0593051
0 -0.0722155
0 -0.076942
0 -0.076942
0 -0.076942
0 -0.076942
0 -0.076942
0 -0.0893162
0 -0.0848576
0 -0.0814857
0 -0.0792267
0 -0.0779321
0 -0.0772964
0 -0.0768711
0 -0.076085
0 -0.0742865
0 -0.070827
0 -0.0651752
0 -0.0570332
0 -0.0464109
0 -0.0336168
0 -0.0192012
0 -0.00384223
0 0.0117431
0 0.0268627
0 0.0408898
0 0.0533076
0 0.063741
0 0.0719988
0 0.0780767
0 0.0821376
0 0.0844461
0 0.0852988
0 0.0849629
0 0.0836419
0 0.0814768
0 0.0785636
0 0.0749812
0 0.0707998
0 0.066063
0 0.0607059
0 0.0543973
0 0.0462974
0 0.0348807
0 0.0183516
0 -0.00339831
0 -0.00339831
>>>>>>> afeaa2d6dd010a6f1f048753fc67e0ec0bfcfd5e
